Altium Designer Pick and Place Locations
C:\Users\lafleur\Desktop\Altium Projects\Seti-Controller3D as send to fab 30aug2021\Project Outputs for Seti-Controler-3a\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       01/09/21
Time:       11:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                       
U2         "Part Number: TMC2209-LA-T" BottomLayer QFN50P500X500X90-29N            800.000       -860.000      270      "No Description Available"                                                                        
C25        4.7uf                       BottomLayer 6-0805                          700.000       -150.000      90       Capacitor                                                                                         
S1         Reset                       TopLayer    KMR_2                           1880.000      -1800.000     90       Switch                                                                                            
J23        3220-10-0100-00             TopLayer    SHDR10W41P127_2X5_1265X510X565P 1899.606      -918.307      270      Connector                                                                                         
C14        100uf/35v                   BottomLayer CAPAE660X610N                   220.000       -1160.000     360      "Capacitor Polarised"                                                                             
C13        100uf/35v                   BottomLayer CAPAE660X610N                   220.000       -760.000      360      "Capacitor Polarised"                                                                             
X1         ABS07-32.768KHz-T           BottomLayer ABRA-ABS07-2_V                  1700.000      -950.000      90       "Crystal, 32.768 kHz, 12.5 pF, -40 to 85 degC, SMD Low Profile 3.2 x 1.5 x 0.9 mm, Tape and Reel" 
U3         SN74LVC14ADBR               BottomLayer DB0014A_M                       1275.000      -1600.000     180      "Hex Schmitt-Trigger Inverter, DB0014A, LARGE T&R"                                                
U1         ATSAMD21G18A-AU             BottomLayer TQFP48_7x7MC                    1375.000      -1025.000     180      "No Description Available"                                                                        
TP1        TestPoint                   TopLayer    Test_Point-Thru-Hole            330.000       -270.000      0        ""                                                                                                
R15        10k                         BottomLayer 6-0805                          1200.000      -150.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"  
R14        10k                         BottomLayer 6-0805                          1500.000      -150.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"  
R13        10k                         BottomLayer 6-0805                          1100.000      -150.000      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"  
R12        10k                         BottomLayer 6-0805                          1400.000      -150.000      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"  
